model,experiment,pipeline,augmentation,kernel,capacity,capacity_C,capacity_gamma,budget,budget_data_frac,budget_epochs,split,accuracy,precision,recall,f1,f1_macro,bal_acc,pred_pos_rate,tn,fp,fn,tp,curve_path,curve_fig_path_loss,curve_fig_path_f1,seed
B,B1_baseline,resnet18,NoAug,,full_finetune,,,"data=100%,epochs=20",1.0,20,test,0.8205128205128205,0.8771929824561403,0.8771929824561403,0.8771929824561403,0.7719298245614035,0.7719298245614035,0.7307692307692307,28.0,14.0,14.0,100.0,D:\MSc\AMLS_25_26_25101025\results\curves\B_curve_aug=NoAug_data=1.0_ep=20_cap=full_seed=42.csv,D:\MSc\AMLS_25_26_25101025\results\plots\fig_B_trainloss_aug=NoAug_data=1.0_ep=20_cap=full_seed=42.png,D:\MSc\AMLS_25_26_25101025\results\plots\fig_B_valf1_aug=NoAug_data=1.0_ep=20_cap=full_seed=42.png,42
B,B2_augmentation,resnet18,NoAug,,full_finetune,,,"data=100%,epochs=20",1.0,20,test,0.8525641025641025,0.8527131782945736,0.9649122807017544,0.9053497942386832,0.7860082304526749,0.7562656641604011,0.8269230769230769,23.0,19.0,4.0,110.0,D:\MSc\AMLS_25_26_25101025\results\curves\B_curve_aug=NoAug_data=1.0_ep=20_cap=full_seed=42.csv,D:\MSc\AMLS_25_26_25101025\results\plots\fig_B_trainloss_aug=NoAug_data=1.0_ep=20_cap=full_seed=42.png,D:\MSc\AMLS_25_26_25101025\results\plots\fig_B_valf1_aug=NoAug_data=1.0_ep=20_cap=full_seed=42.png,42
B,B2_augmentation,resnet18,RotShift,,full_finetune,,,"data=100%,epochs=20",1.0,20,test,0.7628205128205128,0.913978494623656,0.7456140350877193,0.821256038647343,0.7344375431331953,0.7775689223057645,0.5961538461538461,34.0,8.0,29.0,85.0,D:\MSc\AMLS_25_26_25101025\results\curves\B_curve_aug=RotShift_data=1.0_ep=20_cap=full_seed=42.csv,D:\MSc\AMLS_25_26_25101025\results\plots\fig_B_trainloss_aug=RotShift_data=1.0_ep=20_cap=full_seed=42.png,D:\MSc\AMLS_25_26_25101025\results\plots\fig_B_valf1_aug=RotShift_data=1.0_ep=20_cap=full_seed=42.png,42
B,B2_augmentation,resnet18,RotShift+Noise,,full_finetune,,,"data=100%,epochs=20",1.0,20,test,0.8141025641025641,0.8828828828828829,0.8596491228070176,0.8711111111111111,0.7688888888888888,0.775062656641604,0.7115384615384616,29.0,13.0,16.0,98.0,D:\MSc\AMLS_25_26_25101025\results\curves\B_curve_aug=RotShift+Noise_data=1.0_ep=20_cap=full_seed=42.csv,D:\MSc\AMLS_25_26_25101025\results\plots\fig_B_trainloss_aug=RotShift+Noise_data=1.0_ep=20_cap=full_seed=42.png,D:\MSc\AMLS_25_26_25101025\results\plots\fig_B_valf1_aug=RotShift+Noise_data=1.0_ep=20_cap=full_seed=42.png,42
B,B3_budget_epochs,resnet18,NoAug,,full_finetune,,,"data=100%,epochs=5",1.0,5,test,0.8141025641025641,0.8512396694214877,0.9035087719298246,0.8765957446808511,0.7499861840287372,0.737468671679198,0.7756410256410257,24.0,18.0,11.0,103.0,D:\MSc\AMLS_25_26_25101025\results\curves\B_curve_aug=NoAug_data=1.0_ep=5_cap=full_seed=42.csv,D:\MSc\AMLS_25_26_25101025\results\plots\fig_B_trainloss_aug=NoAug_data=1.0_ep=5_cap=full_seed=42.png,D:\MSc\AMLS_25_26_25101025\results\plots\fig_B_valf1_aug=NoAug_data=1.0_ep=5_cap=full_seed=42.png,42
B,B3_budget_epochs,resnet18,NoAug,,full_finetune,,,"data=100%,epochs=20",1.0,20,test,0.8205128205128205,0.8524590163934426,0.912280701754386,0.8813559322033898,0.7564674397859055,0.7418546365914787,0.782051282051282,24.0,18.0,10.0,104.0,D:\MSc\AMLS_25_26_25101025\results\curves\B_curve_aug=NoAug_data=1.0_ep=20_cap=full_seed=42.csv,D:\MSc\AMLS_25_26_25101025\results\plots\fig_B_trainloss_aug=NoAug_data=1.0_ep=20_cap=full_seed=42.png,D:\MSc\AMLS_25_26_25101025\results\plots\fig_B_valf1_aug=NoAug_data=1.0_ep=20_cap=full_seed=42.png,42
B,B3_budget_epochs,resnet18,NoAug,,full_finetune,,,"data=100%,epochs=50",1.0,50,test,0.8589743589743589,0.8650793650793651,0.956140350877193,0.9083333333333332,0.8013888888888889,0.7756892230576441,0.8076923076923077,25.0,17.0,5.0,109.0,D:\MSc\AMLS_25_26_25101025\results\curves\B_curve_aug=NoAug_data=1.0_ep=50_cap=full_seed=42.csv,D:\MSc\AMLS_25_26_25101025\results\plots\fig_B_trainloss_aug=NoAug_data=1.0_ep=50_cap=full_seed=42.png,D:\MSc\AMLS_25_26_25101025\results\plots\fig_B_valf1_aug=NoAug_data=1.0_ep=50_cap=full_seed=42.png,42
B,B4_budget_data,resnet18,NoAug,,full_finetune,,,"data=25%,epochs=20",0.25,20,test,0.7628205128205128,0.8130081300813008,0.8771929824561403,0.8438818565400844,0.6752742616033756,0.6647869674185464,0.7884615384615384,19.0,23.0,14.0,100.0,D:\MSc\AMLS_25_26_25101025\results\curves\B_curve_aug=NoAug_data=0.25_ep=20_cap=full_seed=42.csv,D:\MSc\AMLS_25_26_25101025\results\plots\fig_B_trainloss_aug=NoAug_data=0.25_ep=20_cap=full_seed=42.png,D:\MSc\AMLS_25_26_25101025\results\plots\fig_B_valf1_aug=NoAug_data=0.25_ep=20_cap=full_seed=42.png,42
B,B4_budget_data,resnet18,NoAug,,full_finetune,,,"data=50%,epochs=20",0.5,20,test,0.8141025641025641,0.8695652173913043,0.8771929824561403,0.8733624454148472,0.7619824275267006,0.7600250626566416,0.7371794871794872,27.0,15.0,14.0,100.0,D:\MSc\AMLS_25_26_25101025\results\curves\B_curve_aug=NoAug_data=0.5_ep=20_cap=full_seed=42.csv,D:\MSc\AMLS_25_26_25101025\results\plots\fig_B_trainloss_aug=NoAug_data=0.5_ep=20_cap=full_seed=42.png,D:\MSc\AMLS_25_26_25101025\results\plots\fig_B_valf1_aug=NoAug_data=0.5_ep=20_cap=full_seed=42.png,42
B,B4_budget_data,resnet18,NoAug,,full_finetune,,,"data=100%,epochs=20",1.0,20,test,0.8525641025641025,0.8527131782945736,0.9649122807017544,0.9053497942386832,0.7860082304526749,0.7562656641604011,0.8269230769230769,23.0,19.0,4.0,110.0,D:\MSc\AMLS_25_26_25101025\results\curves\B_curve_aug=NoAug_data=1.0_ep=20_cap=full_seed=42.csv,D:\MSc\AMLS_25_26_25101025\results\plots\fig_B_trainloss_aug=NoAug_data=1.0_ep=20_cap=full_seed=42.png,D:\MSc\AMLS_25_26_25101025\results\plots\fig_B_valf1_aug=NoAug_data=1.0_ep=20_cap=full_seed=42.png,42
